id,dt,amount,product,category,db
a052bb6e-d0ad-11ec-923d-08c5e1cbfad9,2018-02-03,30.0,Profi piata,Stuff,expenses
a05452bd-d0ad-11ec-a941-08c5e1cbfad9,2018-02-04,6.0,Isha,Stuff,expenses
a0557f81-d0ad-11ec-9ee2-08c5e1cbfad9,2018-02-05,17.0,Tigari,Stuff,expenses
a056b41f-d0ad-11ec-b449-08c5e1cbfad9,2018-02-05,7.0,Fornetti,Stuff,expenses
a057eae0-d0ad-11ec-8f7e-08c5e1cbfad9,2018-02-06,33.0,Cartela Vodafone Alin,Stuff,expenses
a0593f94-d0ad-11ec-9abc-08c5e1cbfad9,2018-02-06,30.0,Motorina,Stuff,expenses
a05a20ea-d0ad-11ec-a1d5-08c5e1cbfad9,2018-02-06,29.0,Profi piata,Stuff,expenses
a05b6435-d0ad-11ec-bb5d-08c5e1cbfad9,2018-02-08,50.0,Motorina,Stuff,expenses
a05cd390-d0ad-11ec-b40e-08c5e1cbfad9,2018-02-08,17.0,Tigari,Stuff,expenses
a05e0e8b-d0ad-11ec-98e3-08c5e1cbfad9,2018-02-08,3.0,Cola,Stuff,expenses
a05f321d-d0ad-11ec-b060-08c5e1cbfad9,2018-02-09,33.0,Motorina,Stuff,expenses
a060307c-d0ad-11ec-8b76-08c5e1cbfad9,2018-02-09,17.0,Tigari,Stuff,expenses
a06154d6-d0ad-11ec-9ab6-08c5e1cbfad9,2018-02-09,8.0,Cola cornuri,Stuff,expenses
a062b65c-d0ad-11ec-bc54-08c5e1cbfad9,2018-02-11,12.0,Orbit,Stuff,expenses
a063ade9-d0ad-11ec-829c-08c5e1cbfad9,2018-02-11,17.0,Tigari,Stuff,expenses
a0649d84-d0ad-11ec-a0fd-08c5e1cbfad9,2018-02-12,34.0,Cartela Orange Alin,Stuff,expenses
a06626c8-d0ad-11ec-b7aa-08c5e1cbfad9,2018-02-12,50.0,Bere sticks,Stuff,expenses
a067802e-d0ad-11ec-93b3-08c5e1cbfad9,2018-02-12,50.0,Motorina,Stuff,expenses
a068cc79-d0ad-11ec-836d-08c5e1cbfad9,2018-02-13,17.0,Tigari,Stuff,expenses
a069f644-d0ad-11ec-af94-08c5e1cbfad9,2018-02-13,5.0,Cola,Stuff,expenses
a06e823e-d0ad-11ec-a4c3-08c5e1cbfad9,2018-02-14,50.0,Motorina,Stuff,expenses
a06fe8e2-d0ad-11ec-bcbe-08c5e1cbfad9,2018-02-14,12.0,Cafea,Stuff,expenses
a070f80e-d0ad-11ec-ae90-08c5e1cbfad9,2018-02-16,10.0,Lidl,Stuff,expenses
a072add4-d0ad-11ec-be28-08c5e1cbfad9,2018-02-16,17.0,Cafea,Stuff,expenses
a0741e40-d0ad-11ec-b3ed-08c5e1cbfad9,2018-02-16,17.0,Tigari,Stuff,expenses
a0753296-d0ad-11ec-9b5c-08c5e1cbfad9,2018-02-16,7.0,Bere,Stuff,expenses
a07643b1-d0ad-11ec-a0f1-08c5e1cbfad9,2018-02-17,17.0,Tigari,Stuff,expenses
a077cb72-d0ad-11ec-902a-08c5e1cbfad9,2018-02-17,3.0,Apa,Stuff,expenses
a07910d3-d0ad-11ec-a6f2-08c5e1cbfad9,2018-02-17,28.0,Pizza,Stuff,expenses
a07a6880-d0ad-11ec-ade3-08c5e1cbfad9,2018-02-18,17.0,Tigari,Stuff,expenses
a07b760c-d0ad-11ec-bd47-08c5e1cbfad9,2018-02-18,7.0,Bere,Stuff,expenses
a07ca234-d0ad-11ec-9197-08c5e1cbfad9,2018-02-19,157.0,Doctor,Stuff,expenses
a07dd44b-d0ad-11ec-a9be-08c5e1cbfad9,2018-02-19,17.0,Tigari,Stuff,expenses
a07fc2a1-d0ad-11ec-a322-08c5e1cbfad9,2018-02-19,7.0,Bere,Stuff,expenses
a08159a2-d0ad-11ec-8b9e-08c5e1cbfad9,2018-02-20,5.0,Fornetti,Stuff,expenses
a082426b-d0ad-11ec-94b3-08c5e1cbfad9,2018-02-22,17.0,Tigari,Stuff,expenses
a0831544-d0ad-11ec-84d6-08c5e1cbfad9,2018-02-22,7.0,Cola,Stuff,expenses
a08436c4-d0ad-11ec-8a0f-08c5e1cbfad9,2018-02-23,7.0,Comisioane ING,Stuff,expenses
a08536a0-d0ad-11ec-bed5-08c5e1cbfad9,2018-02-23,74.0,Gelu,Stuff,expenses
a0865644-d0ad-11ec-868e-08c5e1cbfad9,2018-02-23,17.0,Tigari,Stuff,expenses
a0878a9b-d0ad-11ec-a5ca-08c5e1cbfad9,2018-02-23,6.0,RedBull,Stuff,expenses
a0889bef-d0ad-11ec-8e02-08c5e1cbfad9,2018-02-24,24.0,Cora,Stuff,expenses
a089a9e0-d0ad-11ec-b26b-08c5e1cbfad9,2018-02-25,30.0,Profi piata,Stuff,expenses
a08adcbe-d0ad-11ec-bb41-08c5e1cbfad9,2018-03-01,77.0,Kaufland,Stuff,expenses
a08c453a-d0ad-11ec-9c41-08c5e1cbfad9,2018-03-02,50.0,Motorina,Stuff,expenses
a08d2e76-d0ad-11ec-b31c-08c5e1cbfad9,2018-03-02,17.0,Tigari,Stuff,expenses
